,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
2001-06-30,0.19506916264998425,0.5163096022211654,0.03626541937685138,0.11239151105229703,0.13996430469970206,1,3,Walking on Ice
2001-07-31,0.1560558446453297,0.1498179769127688,0.029012349711979905,0.08991320884191271,0.5752006198880089,4,3,Walking on Ice
2001-08-31,0.13875303967678576,0.5695106555918078,0.02320987168430011,0.07193056707348743,0.19659586597361897,1,3,Walking on Ice
2001-09-30,0.5670886480373087,0.1995223081779675,0.01856789734744009,0.05754445365878994,0.15727669277849363,0,0,Crisis
2001-10-31,0.18967091885223952,0.15961784654239017,0.28606061983420755,0.04606091216913833,0.31858970260202446,4,4,Bull Market
2001-11-30,0.15173673485957265,0.12769427723390292,0.07454175828405504,0.5008340105842045,0.14519321903826482,3,4,Bull Market
2001-12-31,0.12138938787748327,0.10215542196354702,0.06258139734146728,0.1366673776944572,0.5772064151230453,4,4,Bull Market
2002-01-31,0.09711151535687396,0.4700728481345228,0.04838771690199109,0.10933390179203349,0.2750940178145787,1,4,Bull Market
2002-02-28,0.07769191452055116,0.16323752897065055,0.038710174165491835,0.08746712143604991,0.6328932609072565,4,4,Bull Market
2002-03-31,0.06215199250147625,0.12596082772485265,0.49441687098895504,0.07052445140047243,0.24694585738424357,2,4,Bull Market
2002-04-30,0.052596609287013395,0.561813389976549,0.1318471492599022,0.05610792751610833,0.1976349239604271,1,4,Bull Market
2002-05-31,0.04045300112513825,0.1871425089073481,0.10547902372008978,0.04488538257586556,0.6220400836715582,4,4,Bull Market
2002-06-30,0.49635585858025116,0.14970811914054935,0.08438247686742344,0.03590829301764541,0.23364525239413061,0,0,Crisis
2002-07-31,0.5970846869827707,0.11976649519386987,0.0675059814939387,0.028726634414116298,0.18691620191530434,0,0,Crisis
2002-08-31,0.213667749586903,0.09581320719155102,0.06992245951591082,0.022981344312381784,0.5976152393932533,4,4,Bull Market
2002-09-30,0.6349341996693209,0.07665055947368933,0.04688135980953773,0.018385054522734257,0.2231488265247178,0,0,Crisis
2002-10-31,0.2439473597354569,0.061320447578951484,0.03750730558674985,0.47870582587906757,0.17851906121977432,3,3,Walking on Ice
